                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.38612,                0.30374,                0.96012,                0.99166,                0.96665,                0.97232,                  0.953,                  1.146,                0.45506,                 2.8065,               0.007063,               0.007063,               0.007063
                     92,                0.38745,                0.30315,                0.96085,                0.99162,                0.96668,                0.97232,                0.95325,                 1.1456,                 0.4547,                 2.8059,                0.00703,                0.00703,                0.00703
                     93,                0.38442,                0.30171,                0.95875,                0.99159,                0.96668,                0.97236,                0.95307,                 1.1454,                0.45416,                 2.8064,               0.006997,               0.006997,               0.006997
                     94,                0.38236,                0.30107,                0.95794,                0.99157,                0.96668,                0.97227,                 0.9532,                 1.1457,                 0.4539,                 2.8059,               0.006964,               0.006964,               0.006964
                     95,                0.38345,                 0.3027,                0.95783,                0.99158,                0.96668,                0.97233,                0.95346,                 1.1451,                0.45416,                 2.8054,               0.006931,               0.006931,               0.006931
                     96,                0.38519,                0.30158,                0.96004,                0.99159,                0.96665,                0.97244,                0.95351,                 1.1448,                0.45383,                 2.8063,               0.006898,               0.006898,               0.006898
                     97,                 0.3821,                0.29958,                0.95761,                0.99156,                0.96689,                0.97247,                0.95425,                 1.1443,                0.45305,                 2.8057,               0.006865,               0.006865,               0.006865
                     98,                0.38069,                0.29909,                0.95774,                0.99156,                0.96689,                0.97243,                0.95431,                 1.1443,                0.45288,                 2.8054,               0.006832,               0.006832,               0.006832
                     99,                0.38123,                0.30079,                0.95703,                0.99157,                0.96713,                 0.9726,                0.95455,                  1.144,                0.45301,                 2.8037,               0.006799,               0.006799,               0.006799
                    100,                0.38047,                0.29976,                0.95873,                0.99157,                0.96665,                0.97247,                0.95383,                 1.1435,                 0.4532,                  2.803,               0.006766,               0.006766,               0.006766
                    101,                0.37902,                0.29758,                0.95585,                0.99152,                0.96713,                0.97258,                0.95445,                 1.1438,                0.45307,                 2.8044,               0.006733,               0.006733,               0.006733
                    102,                0.38135,                0.30014,                0.95631,                 0.9915,                0.96689,                 0.9725,                0.95421,                 1.1435,                0.45317,                 2.8035,                 0.0067,                 0.0067,                 0.0067
                    103,                0.38152,                0.30073,                0.95869,                0.99156,                0.96703,                0.97286,                0.95505,                 1.1432,                0.45346,                 2.8022,               0.006667,               0.006667,               0.006667
                    104,                0.37836,                0.29701,                0.95478,                0.99149,                0.96689,                0.97257,                0.95475,                 1.1427,                 0.4535,                 2.8017,               0.006634,               0.006634,               0.006634
                    105,                0.37807,                0.29499,                0.95469,                0.99143,                0.96676,                0.97216,                0.95388,                 1.1425,                0.45353,                  2.802,               0.006601,               0.006601,               0.006601
                    106,                0.37693,                0.29647,                 0.9535,                0.99146,                0.96691,                0.97251,                0.95448,                 1.1422,                0.45321,                 2.8006,               0.006568,               0.006568,               0.006568
                    107,                0.37644,                0.29668,                0.95383,                0.99147,                0.96703,                0.97257,                0.95457,                 1.1419,                0.45281,                 2.8003,               0.006535,               0.006535,               0.006535
                    108,                0.37531,                0.29645,                0.95408,                0.99147,                0.96703,                0.97271,                0.95471,                 1.1419,                0.45291,                 2.7996,               0.006502,               0.006502,               0.006502
                    109,                0.37373,                0.29497,                 0.9535,                0.99144,                0.96703,                0.97274,                  0.955,                 1.1413,                0.45292,                 2.7989,               0.006469,               0.006469,               0.006469
                    110,                0.37505,                0.29399,                0.95429,                0.99126,                0.96689,                 0.9727,                0.95533,                  1.141,                0.45286,                 2.7995,               0.006436,               0.006436,               0.006436
                    111,                0.37431,                0.29408,                 0.9536,                0.99125,                0.96703,                 0.9729,                0.95543,                 1.1407,                0.45255,                 2.7984,               0.006403,               0.006403,               0.006403
                    112,                  0.373,                 0.2928,                0.95355,                0.99119,                0.96703,                0.97289,                 0.9554,                 1.1407,                0.45226,                 2.7993,                0.00637,                0.00637,                0.00637
                    113,                0.37516,                0.29419,                0.95448,                0.99115,                0.96689,                 0.9727,                 0.9553,                 1.1404,                0.45193,                  2.798,               0.006337,               0.006337,               0.006337
                    114,                0.37079,                0.29197,                0.95037,                0.99104,                0.96708,                0.97294,                0.95564,                 1.1402,                  0.452,                 2.7954,               0.006304,               0.006304,               0.006304
                    115,                0.37041,                0.29007,                0.95091,                0.99122,                0.96718,                0.97299,                0.95594,                   1.14,                0.45239,                 2.7925,               0.006271,               0.006271,               0.006271
                    116,                  0.371,                0.29293,                0.95368,                0.99167,                0.96679,                0.97276,                 0.9551,                   1.14,                0.45221,                 2.7919,               0.006238,               0.006238,               0.006238
                    117,                 0.3716,                0.29194,                0.95296,                0.99168,                0.96683,                0.97289,                 0.9558,                 1.1396,                0.45201,                 2.7907,               0.006205,               0.006205,               0.006205
                    118,                0.37046,                0.28969,                0.95232,                 0.9916,                0.96673,                0.97283,                0.95528,                 1.1393,                0.45196,                 2.7895,               0.006172,               0.006172,               0.006172
                    119,                0.36961,                0.29247,                0.95225,                0.99117,                0.96705,                0.97289,                0.95591,                 1.1388,                0.45183,                 2.7877,               0.006139,               0.006139,               0.006139
                    120,                0.36849,                 0.2937,                0.95089,                0.99121,                0.96704,                0.97293,                0.95589,                 1.1384,                0.45178,                  2.787,               0.006106,               0.006106,               0.006106
                    121,                0.36713,                0.29075,                 0.9494,                0.99121,                0.96707,                0.97294,                  0.956,                 1.1379,                 0.4514,                 2.7859,               0.006073,               0.006073,               0.006073
                    122,                0.36791,                 0.2892,                0.94998,                0.99109,                0.96734,                0.97299,                0.95587,                 1.1374,                0.45052,                 2.7853,                0.00604,                0.00604,                0.00604
                    123,                0.36578,                 0.2873,                0.94901,                 0.9911,                 0.9673,                0.97286,                 0.9556,                  1.137,                0.45073,                 2.7849,               0.006007,               0.006007,               0.006007
                    124,                0.36824,                0.29034,                 0.9515,                0.99109,                0.96768,                0.97284,                0.95593,                 1.1368,                0.45025,                  2.784,               0.005974,               0.005974,               0.005974
                    125,                  0.363,                0.28495,                0.94782,                0.99122,                0.96839,                0.97296,                0.95604,                 1.1364,                0.44967,                 2.7846,               0.005941,               0.005941,               0.005941
                    126,                 0.3666,                0.28682,                0.94939,                0.99108,                0.96858,                  0.973,                0.95622,                 1.1361,                0.44917,                 2.7852,               0.005908,               0.005908,               0.005908
                    127,                0.36357,                0.28481,                0.94728,                0.99123,                0.96897,                0.97306,                 0.9568,                  1.136,                0.44854,                 2.7855,               0.005875,               0.005875,               0.005875
                    128,                0.36551,                0.28977,                0.94891,                0.99115,                0.96915,                0.97307,                0.95703,                 1.1356,                0.44851,                 2.7844,               0.005842,               0.005842,               0.005842
                    129,                0.36269,                0.28498,                0.94764,                0.99086,                0.96918,                0.97308,                 0.9567,                 1.1352,                0.44817,                 2.7844,               0.005809,               0.005809,               0.005809
                    130,                0.36301,                0.28538,                0.94843,                 0.9908,                0.96909,                 0.9732,                 0.9565,                  1.135,                0.44817,                 2.7843,               0.005776,               0.005776,               0.005776
                    131,                0.36245,                0.29131,                0.94698,                 0.9909,                0.96894,                0.97303,                 0.9566,                 1.1348,                0.44842,                 2.7843,               0.005743,               0.005743,               0.005743
                    132,                0.36037,                0.28287,                0.94757,                0.99139,                0.96909,                0.97325,                 0.9566,                 1.1348,                0.44847,                 2.7841,                0.00571,                0.00571,                0.00571
                    133,                0.36043,                0.28334,                 0.9463,                0.99104,                0.96915,                0.97326,                0.95678,                 1.1345,                0.44857,                 2.7844,               0.005677,               0.005677,               0.005677
                    134,                0.35916,                0.28096,                0.94628,                0.99096,                0.96869,                0.97284,                0.95631,                 1.1344,                0.44837,                 2.7857,               0.005644,               0.005644,               0.005644
                    135,                 0.3605,                0.28257,                0.94695,                0.99109,                0.96872,                0.97289,                0.95633,                 1.1344,                 0.4485,                 2.7878,               0.005611,               0.005611,               0.005611
                    136,                0.36214,                0.28452,                0.94885,                0.99148,                0.96927,                0.97328,                0.95707,                 1.1341,                0.44834,                 2.7879,               0.005578,               0.005578,               0.005578
                    137,                0.35881,                0.28159,                0.94569,                0.99146,                0.96935,                0.97308,                0.95661,                 1.1335,                0.44768,                 2.7868,               0.005545,               0.005545,               0.005545
                    138,                0.36083,                0.28199,                0.94554,                0.99166,                0.96957,                0.97313,                0.95718,                 1.1333,                0.44779,                 2.7873,               0.005512,               0.005512,               0.005512
                    139,                0.35738,                0.27997,                0.94459,                0.99156,                 0.9696,                0.97317,                0.95747,                 1.1331,                0.44763,                 2.7883,               0.005479,               0.005479,               0.005479
                    140,                0.35872,                0.27927,                0.94615,                0.99183,                0.97004,                0.97324,                0.95724,                 1.1328,                0.44746,                 2.7892,               0.005446,               0.005446,               0.005446
                    141,                0.35642,                0.28119,                 0.9462,                0.99221,                0.97095,                 0.9733,                0.95763,                 1.1324,                0.44727,                 2.7904,               0.005413,               0.005413,               0.005413
                    142,                0.35731,                0.28098,                0.94609,                0.99162,                0.97099,                0.97326,                0.95753,                 1.1323,                 0.4471,                 2.7897,                0.00538,                0.00538,                0.00538
                    143,                0.35479,                0.27878,                0.94438,                  0.991,                0.97183,                0.97322,                0.95762,                 1.1319,                0.44676,                 2.7892,               0.005347,               0.005347,               0.005347
                    144,                0.35593,                0.27904,                0.94413,                0.99132,                0.97198,                0.97326,                0.95764,                 1.1313,                0.44684,                 2.7896,               0.005314,               0.005314,               0.005314
                    145,                0.35623,                0.28121,                0.94591,                0.99101,                0.97213,                0.97329,                0.95765,                  1.131,                0.44697,                 2.7903,               0.005281,               0.005281,               0.005281
                    146,                0.35256,                0.27606,                0.94214,                0.99141,                0.97183,                0.97332,                 0.9577,                 1.1307,                0.44674,                 2.7905,               0.005248,               0.005248,               0.005248
                    147,                0.35313,                0.27739,                0.94379,                 0.9917,                0.97099,                0.97331,                0.95802,                 1.1304,                0.44636,                   2.79,               0.005215,               0.005215,               0.005215
                    148,                0.35069,                0.27506,                0.94291,                0.99255,                0.97038,                0.97334,                0.95784,                   1.13,                0.44576,                 2.7895,               0.005182,               0.005182,               0.005182
                    149,                0.35128,                0.27624,                 0.9427,                 0.9925,                0.97053,                0.97363,                0.95853,                 1.1298,                0.44573,                 2.7896,               0.005149,               0.005149,               0.005149
                    150,                0.35361,                0.27649,                0.94385,                0.99223,                 0.9707,                0.97339,                0.95802,                 1.1298,                0.44566,                 2.7908,               0.005116,               0.005116,               0.005116
                    151,                 0.3519,                0.27603,                0.94102,                0.99208,                0.97064,                0.97338,                0.95814,                 1.1296,                0.44562,                 2.7906,               0.005083,               0.005083,               0.005083
                    152,                0.35057,                0.27456,                 0.9411,                0.99251,                0.97019,                0.97338,                0.95806,                 1.1292,                0.44565,                 2.7892,                0.00505,                0.00505,                0.00505
                    153,                0.34989,                0.27631,                0.94019,                0.99268,                0.96998,                 0.9734,                0.95827,                 1.1285,                0.44521,                  2.788,               0.005017,               0.005017,               0.005017
                    154,                0.34986,                0.27242,                0.93862,                 0.9928,                0.96998,                0.97345,                0.95834,                 1.1282,                0.44519,                 2.7889,               0.004984,               0.004984,               0.004984
                    155,                0.34876,                0.27528,                0.94006,                0.99299,                0.96993,                0.97347,                0.95863,                 1.1281,                0.44554,                 2.7889,               0.004951,               0.004951,               0.004951
                    156,                0.34754,                0.27584,                0.94103,                0.99292,                0.96988,                0.97341,                0.95866,                 1.1279,                0.44524,                 2.7882,               0.004918,               0.004918,               0.004918
                    157,                 0.3493,                0.27424,                0.94171,                 0.9929,                0.96974,                0.97338,                 0.9589,                 1.1277,                0.44561,                 2.7879,               0.004885,               0.004885,               0.004885
                    158,                0.34628,                0.27154,                0.94039,                0.99291,                0.96963,                 0.9734,                0.95895,                 1.1275,                0.44573,                 2.7878,               0.004852,               0.004852,               0.004852
                    159,                0.34639,                0.27336,                0.94042,                 0.9929,                0.96971,                0.97343,                 0.9588,                 1.1273,                 0.4458,                 2.7887,               0.004819,               0.004819,               0.004819
                    160,                 0.3447,                0.27141,                0.93871,                0.99272,                0.96982,                0.97345,                0.95906,                 1.1269,                0.44531,                 2.7882,               0.004786,               0.004786,               0.004786
